,name,original_name,popularity,gender,id,known_for_department,adult
330,Shabana Azmi,शबाना आज़मी,61.858,1,85672,Acting,False
331,Denzel Washington,Denzel Washington,61.837,2,5292,Acting,False
332,Cary Elwes,Cary Elwes,61.787,2,2130,Acting,False
333,Claudia Chakrabandhu Na Ayudya,Claudia Chakrabandhu Na Ayudya,61.767,1,2279095,Acting,False
334,Matt Smith,Matt Smith,61.732,2,136532,Acting,False
335,Elisha Cuthbert,Elisha Cuthbert,61.704,1,25837,Acting,False
336,Nikolaj Coster-Waldau,Nikolaj Coster-Waldau,61.691,2,12795,Acting,False
337,John Travolta,John Travolta,61.688,2,8891,Acting,False
338,Masaki Suda,菅田将暉,61.617,2,585211,Acting,False
339,Sandra Bullock,Sandra Bullock,61.578,1,18277,Acting,False
340,John Krasinski,John Krasinski,61.559,2,17697,Acting,False
341,Charlie Hunnam,Charlie Hunnam,61.514,2,56365,Acting,False
342,Dan Stevens,Dan Stevens,61.494,2,221018,Acting,False
343,Robin Tunney,Robin Tunney,61.398,1,17346,Acting,False
344,Sean Bean,Sean Bean,61.378,2,48,Acting,False
345,Eric Kofi Abrefa,Eric Kofi Abrefa,61.37,2,1184960,Acting,False
346,Antony Starr,Antony Starr,61.246,2,60373,Acting,False
347,Debby Ryan,Debby Ryan,61.214,1,123846,Acting,False
348,Karen Gillan,Karen Gillan,61.212,1,543261,Acting,False
349,Yoo Ji-won,Yoo Ji-won,61.187,1,1883366,Acting,False
350,Shinnosuke Mitsushima,満島真之介,61.184,2,1288121,Acting,False
351,Monica Bellucci,Monica Bellucci,61.126,1,28782,Acting,False
352,Cailee Spaeny,Cailee Spaeny,61.086,1,1683343,Acting,False
353,William Sadler,William Sadler,61.079,2,6573,Acting,False
354,Wesley Snipes,Wesley Snipes,61.067,2,10814,Acting,False
355,Asia Argento,Asia Argento,60.978,1,18514,Acting,False
356,Idris Elba,Idris Elba,60.932,2,17605,Acting,False
357,Yukie Nakama,仲間由紀恵,60.927,1,58674,Acting,False
358,Oscar Isaac,Oscar Isaac,60.925,2,25072,Acting,False
359,Olivia Wilde,Olivia Wilde,60.916,1,59315,Acting,False
360,Danielle Campbell,Danielle Campbell,60.906,1,114372,Acting,False
361,Daiki Nakamura,中村大樹,60.809,2,81866,Acting,False
362,Melissa Benoist,Melissa Benoist,60.712,1,129104,Acting,False
363,Natalie Portman,Natalie Portman,60.529,1,524,Acting,False
364,Meredith Monroe,Meredith Monroe,60.504,1,87934,Acting,False
365,Ornella Muti,Ornella Muti,60.48,1,27163,Acting,False
366,Yoo Yeon-seok,유연석,60.472,2,587675,Acting,False
367,Mark Ruffalo,Mark Ruffalo,60.457,2,103,Acting,False
368,Ryohei Kimura,木村良平,60.431,2,114299,Acting,False
369,Dolph Lundgren,Dolph Lundgren,60.411,2,16644,Acting,False
370,Kankuro Kudo,宮藤官九郎,60.357,2,87661,Writing,False
371,Cansu Dere,Cansu Dere,60.318,1,113869,Acting,False
372,Jang Hyun-sung,장현성,60.295,2,64455,Acting,False
373,Aaron Paul,Aaron Paul,60.26,2,84497,Acting,False
374,Michael Fassbender,Michael Fassbender,60.173,2,17288,Acting,False
375,Joe Chen,陈乔恩,60.156,1,1239952,Acting,False
376,Zazie Beetz,Zazie Beetz,60.118,1,1545693,Acting,False
377,Virginie Ledoyen,Virginie Ledoyen,60.042,1,19163,Acting,False
378,Sam Worthington,Sam Worthington,60.042,2,65731,Acting,False
379,Kristen Bell,Kristen Bell,60.04,1,40462,Acting,False
380,Bill Skarsgård,Bill Skarsgård,60.015,2,137905,Acting,False
381,Agni Scott,Agni Scott,59.961,1,145312,Acting,False
382,Tim Robbins,Tim Robbins,59.915,2,504,Acting,False
383,Isabel May,Isabel May,59.805,1,1972974,Acting,False
384,Kyshan Wilson,Kyshan Wilson,59.721,1,3626464,Acting,False
385,Ramya Krishnan,Ramya Krishnan,59.683,1,141701,Acting,False
386,Dave Bautista,Dave Bautista,59.625,2,543530,Acting,False
387,Jessie Buckley,Jessie Buckley,59.561,1,1498158,Acting,False
388,Katherine Heigl,Katherine Heigl,59.531,1,25541,Acting,False
389,Yuji Ueda,うえだゆうじ,59.429,2,65427,Acting,False
390,Baek Se-ri,Baek Se-ri,59.378,1,1333252,Acting,False
391,Matthew Lillard,Matthew Lillard,59.376,2,26457,Acting,False
392,Woody Harrelson,Woody Harrelson,59.353,2,57755,Acting,False
393,Jung Woo-sung,정우성,59.308,2,17120,Acting,False
394,Anna Kendrick,Anna Kendrick,59.237,1,84223,Acting,False
395,Koichi Sato,佐藤浩市,59.223,2,58662,Acting,False
396,Buster Keaton,Buster Keaton,59.181,2,8635,Acting,False
397,Sammi Cheng,鄭秀文,59.112,1,86318,Acting,False
398,William Zabka,William Zabka,59.012,2,56124,Acting,False
399,Geraldine Chaplin,Geraldine Chaplin,58.965,1,400,Acting,False
